Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
123.327,45.297,2003,1,11,451.28,451.28,451.28,41.02545455,4964.08,37.60666667,5415.36,Deforestation
123.329,45.297,2003,1,11,593.66,593.66,593.66,53.96909091,6530.26,49.47166667,7123.92,Deforestation
123.369,45.297,2000,3,11,535.51,178.5033333,1606.53,48.68272727,5890.61,38.25071429,7497.14,Deforestation
123.383,45.297,1989,2,24,679.5,339.75,1359,28.3125,16308,26.13461538,17667,Deforestation
123.319,45.299,1988,2,24,702.66,351.33,1405.32,29.2775,16863.84,27.02538462,18269.16,Deforestation
123.333,45.299,2002,1,12,432.27,432.27,432.27,36.0225,5187.24,33.25153846,5619.51,Deforestation
123.339,45.299,1992,2,20,684.13,342.065,1368.26,34.2065,13682.6,31.09681818,15050.86,Deforestation
123.365,45.299,2000,1,14,197.13,197.13,197.13,14.08071429,2759.82,13.142,2956.95,Deforestation
123.375,45.299,1988,4,11,358.64,89.66,1434.56,32.60363636,3945.04,23.90933333,5379.6,Deforestation
123.377,45.299,1988,1,15,327.51,327.51,327.51,21.834,4912.65,20.469375,5240.16,Deforestation
123.319,45.301,1988,1,20,782.02,782.02,782.02,39.101,15640.4,37.23904762,16422.42,Deforestation
123.321,45.301,1988,1,26,203.26,203.26,203.26,7.817692308,5284.76,7.528148148,5488.02,Deforestation
123.327,45.301,2001,2,12,685.01,342.505,1370.02,57.08416667,8220.12,48.92928571,9590.14,Deforestation
123.329,45.301,1999,1,14,667.83,667.83,667.83,47.70214286,9349.62,44.522,10017.45,Deforestation
123.345,45.301,1993,2,14,534.15,267.075,1068.3,38.15357143,7478.1,33.384375,8546.4,Deforestation
123.363,45.301,1985,3,13,673.79,224.5966667,2021.37,51.83,8759.27,42.111875,10780.64,Deforestation
123.371,45.301,1988,1,23,624.26,624.26,624.26,27.14173913,14357.98,26.01083333,14982.24,Deforestation
123.373,45.301,1988,1,13,382.32,382.32,382.32,29.40923077,4970.16,27.30857143,5352.48,Deforestation
123.375,45.301,1996,1,17,791.48,791.48,791.48,46.55764706,13455.16,43.97111111,14246.64,Deforestation
123.319,45.303,1988,1,26,723.19,723.19,723.19,27.815,18802.94,26.78481481,19526.13,Deforestation
123.325,45.303,2002,1,12,685.54,685.54,685.54,57.12833333,8226.48,52.73384615,8912.02,Deforestation
