Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
-122.999,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.009,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.019,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.638,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.648,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.658,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.678,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.688,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.718,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.728,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.738,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.748,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.758,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.768,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.778,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.788,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.798,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.868,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.878,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.888,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.898,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.908,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.918,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.928,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.948,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.958,44.04,0,0,0,0,0,0,0,0,0,0,None
-123.4,44.092,0,0,0,0,0,0,0,0,0,0,None
-123.508,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.518,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.538,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.548,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.558,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.568,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.578,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.598,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.608,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.618,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.628,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.648,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.668,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.698,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.738,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.758,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.788,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.798,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.808,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.818,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.828,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.838,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.848,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.868,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.878,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.888,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.898,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.908,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.928,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.938,44.11,0,0,0,0,0,0,0,0,0,0,None
-123.958,44.11,0,0,0,0,0,0,0,0,0,0,None
